,Date,Close,IVV_Position,Cash,Portofolio_value,Portofolio_return
0,2016/9/12,217.630005,100,978546,1000309.001,
1,2016/9/13,214.470001,100,978546,999993.0001,-0.000315903
2,2016/9/14,214.350006,100,978546,999981.0006,-1.20E-05
3,2016/9/15,216.520004,100,978546,1000198,0.000217004
4,2016/9/16,215.619995,100,978546,1000108,-9.00E-05
5,2016/9/19,215.729996,100,978546,1000119,1.10E-05
6,2016/9/20,215.75,100,978546,1000121,2.00E-06
7,2016/9/21,218.160004,100,978546,1000362,0.000240971
8,2016/9/22,219.5,100,978546,1000496,0.000133951
9,2016/9/23,218.350006,100,978546,1000381.001,-0.000114942
10,2016/9/26,215.449997,100,978546,1000091,-0.00028989
11,2016/9/27,216.759995,100,978546,1000222,0.000130988
12,2016/9/28,217.899994,100,978546,1000335.999,0.000113975
13,2016/9/29,215.940002,100,978546,1000140,-0.000195933
14,2016/9/30,217.559998,100,978546,1000302,0.000161977
15,2016/10/3,216.889999,100,978546,1000235,-6.70E-05
16,2016/10/4,215.940002,100,978546,1000140,-9.50E-05
17,2016/10/5,216.889999,100,978546,1000235,9.50E-05
18,2016/10/6,217.100006,100,978546,1000256.001,2.10E-05
19,2016/10/7,216.25,100,978546,1000171,-8.50E-05
20,2016/10/10,217.339996,100,978546,1000280,0.000108981
21,2016/10/11,214.660004,100,978546,1000012,-0.000267924
22,2016/10/12,214.929993,100,978546,1000038.999,2.70E-05
23,2016/10/13,214.270004,100,978546,999973.0004,-6.60E-05
24,2016/10/14,214.289993,100,978546,999974.9993,2.00E-06
25,2016/10/17,213.580002,100,978546,999904.0002,-7.10E-05
26,2016/10/18,214.899994,100,978546,1000035.999,0.000132012
27,2016/10/19,215.429993,100,978546,1000088.999,5.30E-05
28,2016/10/20,215.059998,100,978546,1000052,-3.70E-05
29,2016/10/21,215.160004,100,978546,1000062,1.00E-05
30,2016/10/24,216.110001,100,978546,1000157,9.50E-05
31,2016/10/25,215.419998,100,978546,1000088,-6.90E-05
32,2016/10/26,214.970001,100,978546,1000043,-4.50E-05
33,2016/10/27,214.380005,100,978546,999984.0005,-5.90E-05
34,2016/10/28,213.75,100,978546,999921,-6.30E-05
35,2016/10/31,213.690002,100,978546,999915.0002,-6.00E-06
36,2016/11/1,212.229996,100,978546,999768.9996,-0.000146013
37,2016/11/2,210.899994,100,978546,999635.9994,-0.000133031
38,2016/11/3,210.020004,100,978546,999548.0004,-8.80E-05
39,2016/11/4,209.669998,100,978546,999512.9998,-3.50E-05
40,2016/11/7,214.320007,100,978546,999978.0007,0.000465227
41,2016/11/8,215.309998,100,978546,1000077,9.90E-05
42,2016/11/9,217.690002,100,978546,1000315,0.000237982
43,2016/11/10,218.119995,100,978546,1000358,4.30E-05
44,2016/11/11,217.729996,100,978546,1000319,-3.90E-05
45,2016/11/14,217.789993,100,978546,1000324.999,6.00E-06
46,2016/11/15,219.520004,100,978546,1000498,0.000172945
47,2016/11/16,219.240005,100,978546,1000470.001,-2.80E-05
48,2016/11/17,220.229996,100,978546,1000569,9.90E-05
49,2016/11/18,219.789993,100,978546,1000524.999,-4.40E-05
50,2016/11/21,221.389999,100,978546,1000685,0.000159917
