Date,Consumer_Discretionary,Consumer_Staples,Energy,Financials,Health_care,Industrials,Information_techology,Materials,Real_estate,Communication,Utilities
3/30/2016,2189.184391,2454.567622,1019.76332,836.2025941,2310.370409,1671.338288,2102.469049,1436.181848,1421.280641,1930.792956,1716.23136
3/31/2016,2187.638373,2447.045496,1019.825585,835.2868876,2312.194976,1666.557737,2101.306674,1425.317437,1430.316729,1931.160363,1724.06853
4/1/2016,2197.293774,2477.104114,1004.543942,840.46138,2342.853782,1671.865595,2117.561482,1436.817061,1430.180289,1948.81471,1731.763656
4/4/2016,2178.243922,2472.205753,998.2208527,836.306888,2364.428952,1654.463641,2107.125636,1422.429676,1427.864847,1951.493438,1723.490886
4/5/2016,2160.032093,2455.17051,990.6202969,824.7702672,2336.525236,1644.144495,2084.531531,1412.26395,1419.16739,1928.587031,1691.693162
4/6/2016,2181.01523,2474.339573,1012.148697,829.4088003,2403.006601,1650.78636,2107.02874,1425.626559,1423.906511,1936.593194,1690.220217
4/7/2016,2154.266198,2450.826557,1005.529796,814.1419435,2377.416923,1638.353803,2076.316579,1406.989338,1414.449795,1909.046365,1690.096131
4/8/2016,2152.619434,2462.946799,1027.414056,817.8400605,2366.911044,1648.185207,2077.743122,1421.120225,1424.218422,1914.308273,1698.966771
4/11/2016,2144.311018,2445.347958,1023.921606,820.4621971,2348.451731,1645.170365,2072.440642,1428.487325,1422.029686,1903.480531,1692.482383
4/12/2016,2160.993795,2460.873192,1056.069486,831.1275804,2367.947146,1658.853931,2082.27392,1445.818098,1431.614392,1913.45684,1704.704906
4/13/2016,2194.213292,2443.835062,1059.718398,848.6127024,2394.692068,1684.552239,2115.096955,1464.605111,1429.469558,1913.238066,1695.632689
4/14/2016,2192.23723,2433.399338,1062.960369,850.3390848,2397.972345,1682.822808,2112.27595,1462.695037,1421.636994,1915.269646,1692.526242
4/15/2016,2198.182852,2448.152247,1049.335782,848.9876203,2397.979978,1684.979304,2103.250479,1470.357054,1431.023886,1922.424331,1704.50788
4/18/2016,2215.646346,2456.582233,1066.225924,854.2645732,2419.416955,1691.018986,2112.178782,1477.851413,1436.656116,1933.410322,1710.605572
4/19/2016,2207.820675,2460.772775,1088.103686,862.3528048,2422.313314,1699.51348,2099.048277,1506.132717,1438.21909,1947.035437,1714.274486
4/20/2016,2208.171974,2429.63505,1097.481315,868.086956,2437.009516,1698.026418,2105.130575,1503.008149,1417.96953,1952.143438,1673.894745
4/21/2016,2199.932646,2389.456406,1092.040647,859.4367308,2452.307938,1693.514774,2103.360774,1496.43129,1394.273696,1913.211613,1638.870334
4/22/2016,2196.392771,2399.46891,1108.581271,867.8725453,2460.304297,1702.194419,2071.901839,1507.635685,1409.059488,1938.581569,1653.497642
4/25/2016,2198.139828,2416.180074,1095.260602,865.9832908,2449.328243,1689.944632,2067.45817,1495.209055,1418.456449,1935.8237,1656.616282
4/26/2016,2207.467159,2410.022735,1111.146131,872.2720785,2438.902388,1708.119742,2063.162838,1513.884819,1424.582184,1935.587474,1661.048978
4/27/2016,2206.429002,2420.771064,1131.549797,872.8417832,2435.326829,1720.517354,2049.413223,1524.194793,1423.741537,1956.410709,1682.618706
4/28/2016,2180.402347,2421.676664,1115.408424,863.9942871,2418.815419,1703.530665,2021.160237,1510.025284,1419.701253,1939.772101,1682.106725
