,Date,Portfolio_value
0,2016/9/12,1000309.001
1,2016/9/13,999993.0001
2,2016/9/14,999981.0006
3,2016/9/15,1000198
4,2016/9/16,1000108
5,2016/9/19,1000119
6,2016/9/20,1000121
7,2016/9/21,1000362
8,2016/9/22,1000496
9,2016/9/23,1000381.001
10,2016/9/26,1000091
11,2016/9/27,1000222
12,2016/9/28,1000335.999
13,2016/9/29,1000140
14,2016/9/30,1000302
15,2016/10/3,1000235
16,2016/10/4,1000140
17,2016/10/5,1000235
18,2016/10/6,1000256.001
19,2016/10/7,1000171
20,2016/10/10,1000280
21,2016/10/11,1000012
22,2016/10/12,1000038.999
23,2016/10/13,999973.0004
24,2016/10/14,999974.9993
25,2016/10/17,999904.0002
26,2016/10/18,1000035.999
27,2016/10/19,1000088.999
28,2016/10/20,1000052
29,2016/10/21,1000062
30,2016/10/24,1000157
31,2016/10/25,1000088
32,2016/10/26,1000043
33,2016/10/27,999984.0005
34,2016/10/28,999921
35,2016/10/31,999915.0002
36,2016/11/1,999768.9996
37,2016/11/2,999635.9994
38,2016/11/3,999548.0004
39,2016/11/4,999512.9998
40,2016/11/7,999978.0007
41,2016/11/8,1000077
42,2016/11/9,1000315
43,2016/11/10,1000358
44,2016/11/11,1000319
45,2016/11/14,1000324.999
46,2016/11/15,1000498
47,2016/11/16,1000470.001
48,2016/11/17,1000569
49,2016/11/18,1000524.999
50,2016/11/21,1000685
51,2016/11/22,1000722
52,2016/11/23,1000746
53,2016/11/25,1000827
54,2016/11/28,1000729
55,2016/11/29,1000765
56,2016/11/30,1000699
57,2016/12/1,1000619
58,2016/12/2,1000637
59,2016/12/5,1000765
60,2016/12/6,1000845.001
61,2016/12/7,1001133
62,2016/12/8,1001187
63,2016/12/9,1001331.001
64,2016/12/12,1001303.001
65,2016/12/13,1001451
66,2016/12/14,1001278.001
67,2016/12/15,1001354
68,2016/12/16,1001319
69,2016/12/19,1001360.999
70,2016/12/20,1001451
71,2016/12/21,1001263.999
72,2016/12/22,1001231.001
73,2016/12/23,1001246
74,2016/12/27,1001310
75,2016/12/28,1001123
76,2016/12/29,1001121
77,2016/12/30,1001045.001
78,2017/1/3,1001204
79,2017/1/4,1001341
80,2017/1/5,1001320.001
81,2017/1/6,1001410
82,2017/1/9,1001335.999
83,2017/1/10,1001326
84,2017/1/11,1001387
85,2017/1/12,1001343
86,2017/1/13,1001385
87,2017/1/17,1001310
88,2017/1/18,1001354
89,2017/1/19,1001281.001
90,2017/1/20,1001356.001
91,2017/1/23,1001303.001
92,2017/1/24,1001303
93,2017/1/25,1001303
94,2017/1/26,1001303
95,2017/1/27,1001303
96,2017/1/30,1001303
97,2017/1/31,1001303
98,2017/2/1,1001303
99,2017/2/2,1001303
100,2017/2/3,1001303
101,2017/2/6,1001303
102,2017/2/7,1001303
103,2017/2/8,1001303
104,2017/2/9,1001303
105,2017/2/10,1001303
106,2017/2/13,1001303
107,2017/2/14,1001303
108,2017/2/15,1001303
109,2017/2/16,1001303
110,2017/2/17,1001303
111,2017/2/21,1001303
112,2017/2/22,1001303
113,2017/2/23,1001303
114,2017/2/24,1001303
115,2017/2/27,1001303
116,2017/2/28,1001303
117,2017/3/1,1001303
118,2017/3/2,1001303
119,2017/3/3,1001303
120,2017/3/6,1001303
121,2017/3/7,1001303
122,2017/3/8,1001303
123,2017/3/9,1001303
124,2017/3/10,1001303
125,2017/3/13,1001303
126,2017/3/14,1001303
127,2017/3/15,1001303
128,2017/3/16,1001303
129,2017/3/17,1001303
130,2017/3/20,1001303
131,2017/3/21,1001303
132,2017/3/22,1001303
133,2017/3/23,1001303
134,2017/3/24,1001303
135,2017/3/27,1001303
136,2017/3/28,1001303
137,2017/3/29,1001303
138,2017/3/30,1001303
139,2017/3/31,1001303
140,2017/4/3,1001303
141,2017/4/4,1001303
142,2017/4/5,1001303
143,2017/4/6,1001303
144,2017/4/7,1001303
145,2017/4/10,1001303
146,2017/4/11,1001303
147,2017/4/12,1001303
148,2017/4/13,1001303
149,2017/4/17,1001303
150,2017/4/18,1001303
151,2017/4/19,1001303
152,2017/4/20,1001303
153,2017/4/21,1001303
154,2017/4/24,1001303
155,2017/4/25,1001303
156,2017/4/26,1001303
157,2017/4/27,1001303
158,2017/4/28,1001303
159,2017/5/1,1001303
160,2017/5/2,1001303
161,2017/5/3,1001303
162,2017/5/4,1001303
163,2017/5/5,1001303
