,buy_or_sell,end_date,start_date,start_price,end_price
0,sell,2016-09-06,2016-07-12,214.67,219.63
1,buy,2016-09-12,2016-09-01,218.65,214.54
2,buy,2016-12-27,2016-12-20,228.15,227.0
3,sell,2017-01-24,2017-01-17,227.64,227.57
4,sell,2017-04-21,2017-04-12,236.55,236.73
5,buy,2018-04-25,2018-04-10,262.7,264.89
6,buy,2018-10-09,2018-09-19,293.07,289.94
7,sell,2019-02-11,2018-12-13,267.49,272.13
8,sell,2019-05-15,2019-03-29,282.69,285.32
9,sell,2019-07-31,2019-07-02,297.32,302.48
10,buy,2019-12-11,2019-11-29,316.06,315.37
11,sell,2020-01-08,2019-12-25,322.65,324.2
12,sell,2020-06-22,2020-06-02,306.68,309.72
